,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable
1494,1,1,59.26621,17.9797,2,1.0,1.0,2.0,2,14,2,2,1125,1125,25,49,76,151,87,18,1,4.99,4.94,4.95,4.93,4.93,4.86,4.89,,1,1,0,0,2024-12-30,2019-08-29,within an hour,100%,97%,t,t,t,Entire guest suite,Entire home/apt,1 bath,,t,2024-12-30,2020-01-15,2024-12-07,t
1495,1,1,59.31473,17.9982,2,1.5,1.0,1.0,3,1125,2,3,1125,1125,30,33,33,33,8,1,0,4.75,5.0,4.25,4.63,4.88,4.88,4.38,,1,1,0,0,2024-12-30,2019-12-15,,,50%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$1,104.00",t,2024-12-30,2021-08-19,2024-01-01,f
1496,3,5,59.23551,18.08839,1,1.0,1.0,1.0,2,14,2,2,14,14,29,59,89,89,9,0,0,4.89,4.78,5.0,5.0,5.0,4.78,4.78,,2,1,1,0,2024-12-30,2011-02-04,within a day,50%,78%,f,t,t,Private room in townhouse,Private room,1 private bath,$595.00,t,2024-12-30,2020-10-09,2023-06-11,f
1497,1,2,59.30865,18.0887,2,1.0,1.0,2.0,10,1125,10,10,1125,1125,0,0,0,0,9,1,0,5.0,5.0,5.0,5.0,5.0,4.89,4.89,,1,1,0,0,2024-12-30,2018-04-02,,,100%,f,t,t,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2020-01-05,2024-03-20,f
1498,20,20,59.33442,18.02443,2,1.0,1.0,1.0,1,31,1,2,14,1125,4,12,27,276,282,92,4,4.74,4.9,4.78,4.9,4.82,4.76,4.74,,20,20,0,0,2024-12-30,2013-08-12,within an hour,100%,99%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$580.00,t,2024-12-30,2020-01-12,2024-12-19,f
1499,20,20,59.33257,18.02428,2,1.0,1.0,1.0,2,31,1,2,14,1125,7,21,38,262,304,79,6,4.76,4.82,4.73,4.9,4.86,4.77,4.73,,20,20,0,0,2024-12-30,2013-08-12,within an hour,100%,99%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$629.00,t,2024-12-30,2019-12-23,2024-12-16,f
1500,20,20,59.33314,18.02358,3,1.0,1.0,2.0,2,31,1,2,14,1125,3,15,34,278,231,78,6,4.83,4.89,4.81,4.85,4.85,4.79,4.74,,20,20,0,0,2024-12-30,2013-08-12,within an hour,100%,99%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$671.00,t,2024-12-30,2019-12-27,2024-12-23,f
1501,1,1,59.3172,18.05428,2,1.0,1.0,2.0,2,14,2,2,1125,1125,0,0,0,0,2,0,0,4.5,4.5,4.5,5.0,5.0,4.0,4.0,,1,1,0,0,2024-12-30,2019-12-17,,,,f,t,f,Entire rental unit,Entire home/apt,1.5 baths,,f,2024-12-30,2020-01-01,2021-03-09,f
1502,5,7,59.27266,17.98456,1,2.0,1.0,1.0,28,1125,28,28,1125,1125,0,26,56,56,17,4,0,4.88,5.0,4.82,5.0,5.0,4.82,5.0,,4,1,3,0,2024-12-30,2015-09-07,within an hour,100%,90%,t,t,t,Private room in rental unit,Private room,2 shared baths,$310.00,t,2024-12-30,2020-09-01,2024-09-01,f
1503,5,7,59.27307,17.98429,1,2.0,1.0,1.0,14,1125,12,14,1125,1125,12,12,12,180,9,2,1,4.67,4.89,4.33,5.0,5.0,4.78,4.89,,4,1,3,0,2024-12-30,2015-09-07,within an hour,100%,90%,t,t,t,Private room in rental unit,Private room,2 shared baths,$296.00,t,2024-12-30,2020-04-01,2024-12-20,f
1504,2,2,59.33932,18.06163,4,1.0,2.0,0.0,2,180,3,3,180,180,29,59,89,89,5,0,0,4.8,5.0,5.0,5.0,4.8,5.0,4.8,,2,2,0,0,2024-12-30,2019-11-07,a few days or more,0%,20%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,900.00",t,2024-12-30,2020-01-19,2020-02-24,f
1505,2,3,59.28206,18.12172,3,1.5,1.0,2.0,3,100,3,3,1125,1125,2,28,58,330,59,11,1,4.88,4.88,4.73,4.97,4.88,4.85,4.81,,1,1,0,0,2024-12-30,2019-01-14,within an hour,100%,100%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$1,000.00",t,2024-12-30,2021-08-12,2024-12-17,t
1506,3,3,59.31874,18.05871,2,1.0,1.0,1.0,3,30,1,3,30,30,11,38,62,62,236,57,4,4.89,4.9,4.89,4.92,4.88,4.95,4.8,,3,3,0,0,2024-12-30,2016-07-05,within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,269.00",t,2024-12-30,2020-01-26,2024-12-15,f
1507,1,1,59.41535,17.91247,2,1.0,1.0,2.0,2,5,2,2,5,5,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,,1,0,1,0,2024-12-30,2018-02-14,,,,f,t,t,Private room in rental unit,Private room,1.5 shared baths,,t,2024-12-30,2020-01-19,2020-08-10,f
1508,2,3,59.31979,18.05931,2,1.0,0.0,1.0,4,10,4,4,10,10,12,28,38,116,66,28,2,4.89,4.88,4.52,4.95,4.95,4.95,4.8,,2,1,1,0,2024-12-30,2013-04-10,within a few hours,100%,89%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$990.00,t,2024-12-30,2020-01-20,2024-12-16,f
1509,1,4,59.31692,18.03662,2,1.0,1.0,2.0,3,12,3,3,12,12,0,0,0,0,17,2,0,4.35,4.18,4.53,4.82,4.88,4.94,4.41,,1,1,0,0,2024-12-30,2013-12-29,,,50%,f,t,t,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2022-07-12,2024-08-27,f
1510,3,3,59.32767,18.04205,3,1.0,1.0,2.0,2,14,2,2,14,14,29,59,89,210,25,6,0,4.84,4.8,4.76,4.92,4.96,4.8,4.8,,3,1,2,0,2024-12-30,2013-05-03,,,92%,f,t,t,Private room in rental unit,Private room,1 shared bath,"$1,300.00",t,2024-12-30,2020-01-27,2024-08-30,f
1511,2,2,59.33261,18.04901,2,1.0,1.0,2.0,2,1125,2,2,1125,1125,0,0,0,0,0,0,0,4.9,4.9,4.9,5.0,5.0,4.9,4.8,,1,1,0,0,2024-12-30,2020-01-04,,,,f,t,f,Entire rental unit,Entire home/apt,1 bath,,,2024-12-30,,,f
1512,2,2,59.30984,18.05607,4,1.0,1.0,2.0,2,1125,2,2,1125,1125,0,0,0,0,10,0,0,4.8,4.8,4.4,4.9,5.0,4.6,4.6,,1,1,0,0,2024-12-30,2017-09-20,,,,f,t,f,Entire rental unit,Entire home/apt,1 bath,,,2024-12-30,2020-10-22,2022-08-20,f
1513,2,3,59.33358,18.08751,2,1.0,1.0,2.0,2,1125,2,2,1125,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1,1,0,0,2024-12-30,2015-12-09,,,,f,t,f,Entire rental unit,Entire home/apt,1.5 baths,,,2024-12-30,2020-06-07,2020-06-07,f
1514,1,2,59.33498,18.02645,2,1.5,1.0,1.0,1,1125,1,1,1125,1125,2,2,2,2,25,0,0,4.92,4.6,4.8,4.68,4.64,4.88,4.72,,1,1,0,0,2024-12-30,2014-03-20,within a few hours,100%,0%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,$729.00,t,2024-12-30,2020-07-14,2022-12-30,f
1515,1,2,59.31092,18.0658,4,1.0,1.0,2.0,4,14,4,7,14,14,0,0,0,0,0,0,0,4.9,4.9,4.9,5.0,5.0,4.9,4.8,,1,1,0,0,2024-12-30,2017-02-05,,,,f,t,f,Entire rental unit,Entire home/apt,2 baths,,t,2024-12-30,,,f
1516,1,1,59.27284,18.05142,2,1.0,1.0,2.0,7,30,7,7,1125,1125,0,0,0,0,19,0,0,4.89,4.89,4.95,4.95,5.0,4.79,4.89,,1,1,0,0,2024-12-30,2018-09-14,,,,f,t,t,Entire condo,Entire home/apt,1 bath,,t,2024-12-30,2020-01-20,2022-03-20,f
1517,1,2,59.30128,18.01123,3,1.0,2.0,2.0,1,7,1,1,7,7,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1,1,0,0,2024-12-30,2017-04-02,,,,f,t,t,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2021-02-08,2021-02-08,f
1518,2,2,59.31332,18.07427,4,1.0,2.0,2.0,7,1125,7,7,1125,1125,0,0,0,0,4,0,0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,,1,1,0,0,2024-12-30,2015-01-21,,,,f,t,t,Entire condo,Entire home/apt,2 baths,,t,2024-12-30,2022-07-20,2023-07-09,f
1519,1,1,59.34949,18.03751,2,1.0,1.0,2.0,3,8,3,3,8,8,0,0,0,0,15,6,0,5.0,4.87,4.87,5.0,5.0,4.73,4.93,,1,1,0,0,2024-12-30,2015-07-11,,,43%,t,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2020-02-21,2024-08-29,f
1520,2,2,59.26408,18.01599,2,1.0,1.0,2.0,3,1125,3,3,1125,1125,0,0,0,0,3,0,0,5.0,5.0,4.33,5.0,5.0,4.0,4.67,,1,1,0,0,2024-12-30,2014-10-22,,,,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2020-01-29,2021-06-30,f
1521,1,1,59.36458,17.80272,10,1.0,4.0,2.0,7,1125,7,7,1125,1125,0,0,0,0,4,0,0,4.75,4.75,4.75,5.0,5.0,5.0,4.75,,1,1,0,0,2024-12-30,2020-01-15,,,,f,t,t,Entire home,Entire home/apt,1.5 baths,,t,2024-12-30,2020-07-20,2022-07-21,f
1522,1,1,59.28779,18.09189,1,1.0,1.0,1.0,2,365,2,2,365,365,29,59,89,269,3,3,0,4.0,4.33,4.33,4.67,4.67,4.67,4.67,,1,0,1,0,2024-12-30,2020-01-15,,,30%,f,t,t,Private room in rental unit,Private room,1 shared bath,$600.00,t,2024-12-30,2024-05-18,2024-06-26,f
1523,8,33,59.39902,17.95205,4,1.0,1.0,1.0,7,1125,7,7,1125,1125,29,59,89,89,17,1,0,4.76,4.65,4.94,4.94,4.76,4.71,4.82,,8,8,0,0,2024-12-30,2019-08-23,within an hour,100%,84%,t,t,t,Room in aparthotel,Entire home/apt,1 bath,"$1,300.00",t,2024-12-30,2020-02-10,2024-01-03,f
1524,8,33,59.40055,17.95176,2,1.0,1.0,1.0,7,1125,7,7,1125,1125,29,59,89,179,14,1,0,4.86,4.71,4.86,4.86,5.0,4.79,4.79,,8,8,0,0,2024-12-30,2019-08-23,within an hour,100%,84%,t,t,t,Room in aparthotel,Entire home/apt,1 bath,$850.00,t,2024-12-30,2020-02-08,2024-08-31,f
1525,8,33,59.3992,17.95358,2,1.0,1.0,1.0,7,1125,7,7,1125,1125,29,59,89,179,14,1,0,4.86,4.86,5.0,4.93,5.0,4.21,4.5,,8,8,0,0,2024-12-30,2019-08-23,within an hour,100%,84%,t,t,t,Room in aparthotel,Entire home/apt,1 bath,$850.00,t,2024-12-30,2020-05-01,2024-04-12,f
1526,1,3,59.34663,18.07032,6,2.5,3.0,3.0,3,1125,3,3,1125,1125,8,8,8,8,30,1,0,4.83,4.63,4.83,4.83,4.83,4.87,4.77,,1,1,0,0,2024-12-30,2020-01-18,within an hour,100%,100%,f,t,t,Entire rental unit,Entire home/apt,2.5 baths,"$2,120.00",t,2024-12-30,2020-02-17,2024-01-04,f
1527,1,1,59.3532081,17.9024416,8,1.0,3.0,2.0,7,365,7,7,365,365,0,0,0,0,0,0,0,4.9,4.9,4.9,5.0,5.0,4.9,4.8,,1,1,0,0,2024-12-30,2018-02-18,,,,f,t,t,Entire home,Entire home/apt,2 baths,,t,2024-12-30,,,f
1528,1,1,59.27368,18.11333,6,1.5,3.0,3.0,4,30,4,4,30,30,23,53,83,173,5,0,0,4.8,4.8,4.4,5.0,5.0,4.8,4.8,,1,1,0,0,2024-12-30,2011-08-31,,,20%,f,t,t,Entire home,Entire home/apt,1.5 baths,"$1,600.00",t,2024-12-30,2021-07-24,2023-08-05,f
